#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
59161.fa	NODE_10_length_52576_cov_77.974552	25590	26876	+	efmA	1-1287/1287	===============	0/0	100.00	100.00	card	AB467372.1:284-1571	efmA is an MFS transporter permease in  E. faecium.	fluoroquinolone;macrolide
59161.fa	NODE_38_length_22043_cov_262.430848	5583	6278	+	vanRA	1-696/696	===============	0/0	100.00	100.00	card	M97297:3976-4671	vanRA also known as vanR is a vanR variant found in the vanA gene cluster	glycopeptide
59161.fa	NODE_38_length_22043_cov_262.430848	6256	7410	+	vanSA	1-1155/1155	===============	0/0	100.00	100.00	card	M97297:4649-5803	vanSA also known as vanS is a vanS variant found in the vanA gene cluster	glycopeptide
59161.fa	NODE_38_length_22043_cov_262.430848	7625	8593	+	vanHA	1-969/969	===============	0/0	100.00	100.00	card	M97297:6018-6986	vanHA also known as vanH is a vanH variant in the vanA gene cluster	glycopeptide
59161.fa	NODE_38_length_22043_cov_262.430848	8586	9617	+	vanA	1-1032/1032	===============	0/0	100.00	100.00	card	M97297:6979-8010	VanA is a D-Ala-D-Ala ligase homolog that synthesizes D-Ala-D-Lac an alternative substrate for peptidoglycan synthesis that reduces vancomycin binding affinity. It has been isolated from VREs. It is associated with both vancomycin and teicoplanin resistance.	glycopeptide
59161.fa	NODE_38_length_22043_cov_262.430848	9623	10231	+	vanXA	1-609/609	===============	0/0	100.00	100.00	card	M97297:8016-8624	vanXA also known as vanX is a vanX variant found in the vanA gene cluster	glycopeptide
59161.fa	NODE_38_length_22043_cov_262.430848	10659	11570	+	vanYA	1-912/912	===============	0/0	100.00	100.00	card	M97297:9052-9963	vanYA also known as vanY is a vanY variant found in the vanA gene cluster	glycopeptide
59161.fa	NODE_38_length_22043_cov_262.430848	11723	12208	+	vanZA	1-486/486	===============	0/0	100.00	100.00	card	M97297:10116-10601	vanZA also known as vanZ is a vanZ variant found in the vanA gene cluster	glycopeptide
59161.fa	NODE_43_length_19700_cov_92.558426	12901	14820	+	tetM	1-1920/1920	===============	0/0	100.00	93.54	card	AM990992.1:1003680-1001760	TetM is a ribosomal protection protein that confers tetracycline resistance. It is found on transposable DNA elements and its horizontal transfer between bacterial species has been documented.	tetracycline
59161.fa	NODE_64_length_12599_cov_72.960629	11743	12291	-	AAC(6')-Ii	1-549/549	===============	0/0	100.00	99.64	card	L12710:0-549	AAC(6')-Ii is a chromosomal-encoded aminoglycoside acetyltransferase in Enterococcus spp.	aminoglycoside
59162.fa	NODE_11_length_81976_cov_47.970390	30653	31939	-	efmA	1-1287/1287	===============	0/0	100.00	100.00	card	AB467372.1:284-1571	efmA is an MFS transporter permease in  E. faecium.	fluoroquinolone;macrolide
59162.fa	NODE_4_length_117803_cov_46.903301	37625	38173	-	AAC(6')-Ii	1-549/549	===============	0/0	100.00	99.64	card	L12710:0-549	AAC(6')-Ii is a chromosomal-encoded aminoglycoside acetyltransferase in Enterococcus spp.	aminoglycoside
59162.fa	NODE_55_length_15241_cov_215.644025	2991	3476	-	vanZA	1-486/486	===============	0/0	100.00	100.00	card	M97297:10116-10601	vanZA also known as vanZ is a vanZ variant found in the vanA gene cluster	glycopeptide
59162.fa	NODE_55_length_15241_cov_215.644025	3629	4540	-	vanYA	1-912/912	===============	0/0	100.00	99.89	card	M97297:9052-9963	vanYA also known as vanY is a vanY variant found in the vanA gene cluster	glycopeptide
59162.fa	NODE_55_length_15241_cov_215.644025	4968	5576	-	vanXA	1-609/609	===============	0/0	100.00	99.84	card	M97297:8016-8624	vanXA also known as vanX is a vanX variant found in the vanA gene cluster	glycopeptide
59162.fa	NODE_55_length_15241_cov_215.644025	5582	6613	-	vanA	1-1032/1032	===============	0/0	100.00	99.90	card	M97297:6979-8010	VanA is a D-Ala-D-Ala ligase homolog that synthesizes D-Ala-D-Lac an alternative substrate for peptidoglycan synthesis that reduces vancomycin binding affinity. It has been isolated from VREs. It is associated with both vancomycin and teicoplanin resistance.	glycopeptide
59162.fa	NODE_55_length_15241_cov_215.644025	6606	7574	-	vanHA	1-969/969	===============	0/0	100.00	100.00	card	M97297:6018-6986	vanHA also known as vanH is a vanH variant in the vanA gene cluster	glycopeptide
59162.fa	NODE_55_length_15241_cov_215.644025	7789	8943	-	vanSA	1-1155/1155	===============	0/0	100.00	100.00	card	M97297:4649-5803	vanSA also known as vanS is a vanS variant found in the vanA gene cluster	glycopeptide
59162.fa	NODE_55_length_15241_cov_215.644025	8921	9616	-	vanRA	1-696/696	===============	0/0	100.00	100.00	card	M97297:3976-4671	vanRA also known as vanR is a vanR variant found in the vanA gene cluster	glycopeptide
59162.fa	NODE_60_length_11111_cov_173.971905	8550	9047	-	dfrG	1-498/498	===============	0/0	100.00	100.00	card	AB205645:1012-1510	dfrG is a plasmid-encoded dihydrofolate reductase found in Staphylococcus aureus	diaminopyrimidine
59162.fa	NODE_79_length_6042_cov_176.556748	870	1664	-	APH(3')-IIIa	1-795/795	===============	0/0	100.00	100.00	card	CP004067:52914-53709	APH(3')-IIIa is a plasmid-encoded aminoglycoside phosphotransferase in S. aureus and Enterococcus spp.	aminoglycoside
59162.fa	NODE_79_length_6042_cov_176.556748	1757	2299	-	SAT-4	1-543/543	===============	0/0	100.00	99.82	card	U01945:373-916	SAT-4 is a plasmid-mediated streptothricin acetyltransferase and streptothricin (a nucleoside antibiotic) resistant determinant. Originally described from a Campylobacter coli BE/G4 plasmid gene sequence by Jacob et al 1994.	nucleoside
