#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
59161.fa	NODE_38_length_22043_cov_262.430848	5583	6278	+	(Gly)vanR-A	1-696/696	===============	0/0	100.00	100.00	argannot	M97297:3976-4671	(Gly)vanR-A	
59161.fa	NODE_38_length_22043_cov_262.430848	6256	7410	+	(Gly)vanS-A	1-1155/1155	===============	0/0	100.00	100.00	argannot	M97297:4649-5803	(Gly)vanS-A	
59161.fa	NODE_38_length_22043_cov_262.430848	7625	8593	+	(Gly)vanH-A	1-969/969	===============	0/0	100.00	100.00	argannot	FJ866609:3762-4730	(Gly)vanH-A	
59161.fa	NODE_38_length_22043_cov_262.430848	8586	9617	+	(Gly)vanA-A	1-1032/1032	===============	0/0	100.00	100.00	argannot	M97297:6979-8010	(Gly)vanA-A	
59161.fa	NODE_38_length_22043_cov_262.430848	9623	10231	+	(Gly)vanX-A	1-609/609	===============	0/0	100.00	100.00	argannot	M97297:8016-8624	(Gly)vanX-A	
59161.fa	NODE_38_length_22043_cov_262.430848	10659	11570	+	(Gly)vanY-A	1-912/912	===============	0/0	100.00	100.00	argannot	M97297:9052-9963	(Gly)vanY-A	
59161.fa	NODE_38_length_22043_cov_262.430848	11723	12208	+	(Gly)vanZ-A	1-486/486	===============	0/0	100.00	100.00	argannot	M97297:10116-10601	(Gly)vanZ-A	
59161.fa	NODE_43_length_19700_cov_92.558426	12901	14820	+	(Tet)tetM	1-1920/1920	===============	0/0	100.00	93.44	argannot	DQ534550:1451-3370	(Tet)tetM	
59161.fa	NODE_64_length_12599_cov_72.960629	11743	12291	-	(AGly)aac6-Ii	1-549/549	===============	0/0	100.00	99.64	argannot	L12710:169-717	(AGly)aac6-Ii	
59162.fa	NODE_4_length_117803_cov_46.903301	37625	38173	-	(AGly)aac6-Ii	1-549/549	===============	0/0	100.00	99.64	argannot	L12710:169-717	(AGly)aac6-Ii	
59162.fa	NODE_55_length_15241_cov_215.644025	2991	3476	-	(Gly)vanZ-A	1-486/486	===============	0/0	100.00	100.00	argannot	M97297:10116-10601	(Gly)vanZ-A	
59162.fa	NODE_55_length_15241_cov_215.644025	3629	4540	-	(Gly)vanY-A	1-912/912	===============	0/0	100.00	99.89	argannot	M97297:9052-9963	(Gly)vanY-A	
59162.fa	NODE_55_length_15241_cov_215.644025	4968	5576	-	(Gly)vanX-A	1-609/609	===============	0/0	100.00	99.84	argannot	M97297:8016-8624	(Gly)vanX-A	
59162.fa	NODE_55_length_15241_cov_215.644025	5582	6613	-	(Gly)vanA-A	1-1032/1032	===============	0/0	100.00	99.90	argannot	M97297:6979-8010	(Gly)vanA-A	
59162.fa	NODE_55_length_15241_cov_215.644025	6606	7574	-	(Gly)vanH-A	1-969/969	===============	0/0	100.00	100.00	argannot	FJ866609:3762-4730	(Gly)vanH-A	
59162.fa	NODE_55_length_15241_cov_215.644025	7789	8943	-	(Gly)vanS-A	1-1155/1155	===============	0/0	100.00	100.00	argannot	M97297:4649-5803	(Gly)vanS-A	
59162.fa	NODE_55_length_15241_cov_215.644025	8921	9616	-	(Gly)vanR-A	1-696/696	===============	0/0	100.00	100.00	argannot	M97297:3976-4671	(Gly)vanR-A	
59162.fa	NODE_60_length_11111_cov_173.971905	8550	9047	-	(Tmt)dfrG	1-498/498	===============	0/0	100.00	100.00	argannot	AB205645:1013-1510	(Tmt)dfrG	
59162.fa	NODE_79_length_6042_cov_176.556748	870	1664	-	(AGly)aph(3'')-III	1-795/795	===============	0/0	100.00	100.00	argannot	V01547:535-1329	(AGly)aph(3'')-III	
59162.fa	NODE_79_length_6042_cov_176.556748	1757	2299	-	(AGly)sat4A	1-543/543	===============	0/0	100.00	100.00	argannot	X92945:38870-39412	(AGly)sat4A	
59162.fa	NODE_79_length_6042_cov_176.556748	2296	3204	-	(AGly)ant6-Ia	1-909/909	===============	0/0	100.00	100.00	argannot	AF330699:22-930	(AGly)ant6-Ia	
59162.fa	NODE_8_length_96664_cov_55.674832	36713	38191	+	(MLS)msr(C)	1-1479/1479	===============	0/0	100.00	98.99	argannot	AY004350:496-1974	(MLS)msr(C)	
59162.fa	NODE_98_length_2203_cov_194.915804	885	1622	+	(MLS)erm(B)	1-738/738	===============	0/0	100.00	99.86	argannot	M11180:714-1451	(MLS)erm(B)	
59167.fa	NODE_13_length_46349_cov_52.799166	24900	26819	+	(Tet)tetM	1-1920/1920	===============	0/0	100.00	93.44	argannot	DQ534550:1451-3370	(Tet)tetM	
59167.fa	NODE_31_length_27656_cov_70.969216	3450	4928	+	(MLS)msr(C)	1-1479/1479	===============	0/0	100.00	98.65	argannot	AY004350:496-1974	(MLS)msr(C)	
59167.fa	NODE_34_length_26523_cov_58.506012	11767	12315	-	(AGly)aac6-Ii	1-549/549	===============	0/0	100.00	99.82	argannot	L12710:169-717	(AGly)aac6-Ii	
59167.fa	NODE_61_length_13126_cov_218.130968	5320	6015	+	(Gly)vanR-A	1-696/696	===============	0/0	100.00	100.00	argannot	M97297:3976-4671	(Gly)vanR-A	
