#FILE	NUM_FOUND	aac(6')-Ii	aacA-ENT1	aadA5	ant(6)-Ia	aph(3'')-Ib	aph(3')-IIIa	aph(6)-Id	blaCTX-M-1	blaEC-18	blaTEM-1	dfrA17	dfrG	eat(A)	erm(B)	msr(C)	sat4	sul2	tet(B)	tet(M)	vanA	vanH-A	vanR-A	vanS-A	vanX-A	vanY-A	vanZ-A
59161.fa	10	100.00	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	.	.	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00
59162.fa	15	.	100.00	.	100.00	.	100.00	.	.	.	.	.	100.00	100.00	100.00	100.00	100.00	.	.	.	100.00	100.00	100.00	100.00	100.00	100.00	100.00
59167.fa	11	100.00	.	.	.	.	.	.	.	.	.	.	.	100.00	.	100.00	.	.	.	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00
59168.gbk	11	100.00	.	.	.	.	.	.	.	.	.	.	.	100.00	.	100.00	.	.	.	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00
HV114-1.fa	8	.	.	100.00	.	100.00	.	100.00	100.00	100.00	.	100.00	.	.	.	.	.	100.00	100.00	.	.	.	.	.	.	.	.
HV292.fa	9	.	.	100.00	.	100.00	.	100.00	100.00	100.00	100.00	100.00	.	.	.	.	.	100.00	100.00	.	.	.	.	.	.	.	.
