#FILE;NUM_FOUND;VanHAX_2;aac(6')-Ii_1;aadA5_1;ant(6)-Ia_1;aph(3'')-Ib_2;aph(3')-III_1;aph(6)-Id_1;blaCTX-M-1_1;blaTEM-1B_1;dfrA17_1;dfrG_1;erm(B)_18;mdf(A)_1;msr(C)_1;str_3;sul2_2;tet(B)_2;tet(M)_10
59161.fa;4;100;100;.;.;.;.;.;.;.;.;.;.;.;.;100;.;.;100
59162.fa;7;100;100;.;100;.;100;.;.;.;.;100;100;.;100;.;.;.;.
59167.fa;5;100;100;.;.;.;.;.;.;.;.;.;.;.;100;100;.;.;100
59168.gbk;5;100;100;.;.;.;.;.;.;.;.;.;.;.;100;100;.;.;100
HV114-1.fa;8;.;.;100;.;99.88;.;100;100;.;100;.;.;100;.;.;100;100;.
HV292.fa;9;.;.;100;.;99.88;.;100;100;100;100;.;.;100;.;.;100;100;.
