#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
59161.fa	NODE_17_length_43941_cov_76.254400	9689	11191	-	eat(A)	1-1503/1503	===============	0/0	100.00	98.80	ncbi	NG_047762.1	ABC-F type ribosomal protection protein Eat(A)	PLEUROMUTILIN
59161.fa	NODE_38_length_22043_cov_262.430848	5583	6278	+	vanR-A	1-696/696	===============	0/0	100.00	100.00	ncbi	NG_048399.1	VanA-type vancomycin resistance DNA-binding response regulator VanR	VANCOMYCIN
59161.fa	NODE_38_length_22043_cov_262.430848	6256	7410	+	vanS-A	1-1155/1155	===============	0/0	100.00	100.00	ncbi	NG_048425.1	VanA-type vancomycin resistance histidine kinase VanS	VANCOMYCIN
59161.fa	NODE_38_length_22043_cov_262.430848	7625	8593	+	vanH-A	1-969/969	===============	0/0	100.00	100.00	ncbi	NG_048372.1	D-lactate dehydrogenase VanH-A	VANCOMYCIN
59161.fa	NODE_38_length_22043_cov_262.430848	8586	9617	+	vanA	1-1032/1032	===============	0/0	100.00	100.00	ncbi	NG_048323.1	D-alanine--(R)-lactate ligase VanA	VANCOMYCIN
59161.fa	NODE_38_length_22043_cov_262.430848	9623	10231	+	vanX-A	1-609/609	===============	0/0	100.00	100.00	ncbi	NG_048477.1	D-Ala-D-Ala dipeptidase VanX-A	VANCOMYCIN
59161.fa	NODE_38_length_22043_cov_262.430848	10659	11570	+	vanY-A	1-912/912	===============	0/0	100.00	100.00	ncbi	NG_048516.1	D-Ala-D-Ala carboxypeptidase VanY-A	VANCOMYCIN
59161.fa	NODE_38_length_22043_cov_262.430848	11723	12208	+	vanZ-A	1-486/486	===============	0/0	100.00	100.00	ncbi	NG_048534.1	glycopeptide resistance protein VanZ-A	VANCOMYCIN
59161.fa	NODE_43_length_19700_cov_92.558426	12901	14820	+	tet(M)	1-1920/1920	===============	0/0	100.00	99.95	ncbi	NG_048236.1	tetracycline resistance ribosomal protection protein Tet(M)	TETRACYCLINE
59161.fa	NODE_64_length_12599_cov_72.960629	11743	12291	-	aac(6')-Ii	1-549/549	===============	0/0	100.00	99.64	ncbi	NG_047298.1	aminoglycoside N-acetyltransferase AAC(6')-Ii	AMINOGLYCOSIDE
59162.fa	NODE_4_length_117803_cov_46.903301	37625	38173	-	aacA-ENT1	1-549/549	===============	0/0	100.00	100.00	ncbi	NG_052371.1	aminoglycoside 6'-N-acetyltransferase	AMINOGLYCOSIDE
