#FILE;NUM_FOUND;AAC(6')-Ii;APH(3'')-Ib;APH(3')-IIIa;APH(6)-Id;CRP;CTX-M-1;ErmB;Escherichia_coli_acrA;Escherichia_coli_ampC;Escherichia_coli_ampC1_beta-lactamase;Escherichia_coli_ampH;Escherichia_coli_emrE;Escherichia_coli_mdfA;H-NS;SAT-4;TEM-1;aad(6);aadA5;acrB;acrD;acrE;acrF;acrS;bacA;baeR;baeS;cpxA;dfrA17;dfrG;efmA;emrA;emrB;emrK;emrR;emrY;eptA;evgA;evgS;gadW;gadX;kdpE;marA;mdtA;mdtB;mdtC;mdtE;mdtF;mdtG;mdtH;mdtM;mdtN;mdtO;mdtP;mphB;msbA;msrC;pmrF;sul2;tet(B);tetM;tolC;ugd;vanA;vanHA;vanRA;vanSA;vanXA;vanYA;vanZA;yojI
59161.fa;10;100;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;100;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;100;.;.;100;100;100;100;100;100;100;.
59162.fa;15;100;.;100;.;.;.;99.87;.;.;.;.;.;.;.;100;.;100;.;.;.;.;.;.;.;.;.;.;.;100;100;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;100;.;.;.;.;.;.;100;100;100;100;100;100;100;.
59167.fa;11;100;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;100;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;100;.;.;.;100;.;.;100;100;100;100;100;100;100;.
59168.gbk;11;100;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;100;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;100;.;.;.;100;.;.;100;100;100;100;100;100;100;.
HV114-1.fa;52;.;100;.;100;100;100;.;100;100;100;100;100;100;100;.;.;.;100;100;100;100;100;100;99.76;100;100;100;100;.;.;100;100;100;100;100;100;100;100;100;100;99.26;100;100;100;100;100;100;100;100;100;100;100;100;100;100;.;100;100;100;.;100;.;.;.;.;.;.;.;.;100
HV292.fa;54;.;100;.;100;100;100;.;100;100;100;100;100;100;100;.;100;.;100;100;100;100;100;100;99.76;100;100;100;100;.;.;100;100;100;100;100;100;100;100;100;100;99.26;100;100;100;100;100;100;100;100;100;100;100;100;100;100;.;100;100;100;.;100;100;.;.;.;.;.;.;.;100
