#FILE;NUM_FOUND;(AGly)aac6-Ii;(AGly)aadA5;(AGly)ant6-Ia;(AGly)aph(3'')-III;(AGly)sat4A;(AGly)strA;(AGly)strB;(Bla)AmpC1_Ecoli;(Bla)AmpC2_Ecoli;(Bla)Penicillin_Binding_Protein_Ecoli;(Bla)ampH_Ecoli;(Bla)blaCTX-M-1;(Bla)blaTEM-105;(Gly)vanA-A;(Gly)vanH-A;(Gly)vanR-A;(Gly)vanS-A;(Gly)vanX-A;(Gly)vanY-A;(Gly)vanZ-A;(MLS)erm(B);(MLS)msr(C);(Sul)sul2;(Tet)tetB;(Tet)tetM;(Tmt)dfrA17;(Tmt)dfrG
59161.fa;9;100;.;.;.;.;.;.;.;.;.;.;.;.;100;100;100;100;100;100;100;.;.;.;.;100;.;.
59162.fa;14;100;.;100;100;100;.;.;.;.;.;.;.;.;100;100;100;100;100;100;100;100;100;.;.;.;.;100
59167.fa;10;100;.;.;.;.;.;.;.;.;.;.;.;.;100;100;100;100;100;100;100;.;100;.;.;100;.;.
59168.gbk;10;100;.;.;.;.;.;.;.;.;.;.;.;.;100;100;100;100;100;100;100;.;100;.;.;100;.;.
HV114-1.fa;11;.;100;.;.;.;100;100;100;100;100;100;100;.;.;.;.;.;.;.;.;.;.;100;100;.;100;.
HV292.fa;12;.;100;.;.;.;100;100;100;100;100;100;100;100;.;.;.;.;.;.;.;.;.;100;100;.;100;.
